Main Layers,Sub Layers,Other structures,Major cell types,Markers
Epidermis,Stratum corneum (SC),,Corneocytes,"Keratins (k2/k10 (SG), k1/k10 (SS), k5/k14 (SB), P63, p40; involucrin, filagrin to highlight stratum corneum, panCK (PCK26, AE1),p53"
Epidermis,Stratum corneum (SC),,Keratinocytes,"Keratins (k2/k10 (SG), k1/k10 (SS), k5/k14 (SB), P63, p40; involucrin, filagrin to highlight stratum corneum, panCK (PCK26, AE1),p53"
Epidermis,Stratum granulosum (SG),,Keratinocytes,"CD1a, Langerin, DDB2"
Epidermis,Stratum granulosum (SG),,Langerhans cells,"CD1a, Langerin,DDB2"
Epidermis,Stratum spinosum (SS),,Keratinocytes,"Synaptophysin, chromogranin, CK20, neuron specific enolase,Ki67"
Epidermis,Stratum spinosum (SS),,Langerhans cells,"Synaptophysin, chromogranin, CK20, neuron specific enolase,Ki67"
Epidermis,Stratum spinosum (SS),,Merkel cells,"Synaptophysin, chromogranin, CK20, neuron specific enolase,Ki67"
Epidermis,Stratum basale (SB),,Keratinocytes,"SOX-10, S100, MelanA,NaKATPase"
Epidermis,Stratum basale (SB),,Langerhans cells,"SOX-10, S100, MelanA,NaKATPase"
Epidermis,Stratum basale (SB),,Merkel cells,"SOX-10, S100, MelanA,NaKATPase"
Epidermis,Stratum basale (SB),,Melanocytes,"SOX-10, S100, MelanA,NaKATPase"
Epidermis,Basement membrane,,,"Collagen IV, pan-Cadherin"
Epidermis,,Nail plate,Onychocytes,"Keratins,panCK (PCK26, AE1)"
Epidermis,,Hair follicles,Dead and live keratinocytes,"Keratins,panCK (PCK26, AE1)"
Epidermis,,Sebaceous glands,"Germinative (epithelial) cells, Sebocytes","EMA, adipophilin, peripilin,panCK (PCK26, AE1)"
Epidermis,,Eccrine (sweat) glands,"Eccrine cells, myoepithelial cells","Keratins and S100,panCK (PCK26, AE1)"
Epidermis,,Apocrine glands,"Apocrine cells, myoepithelial cells","Keratins and GCDFP, GATA3"
Dermis,Papillary dermis,,,"Collagens, Elastin, Fibronectin, Collagen IV, Fibronectin"
Dermis,Reticular dermis,,,"Collagens, Elastin, Fibronectin, Collagen IV, Fibronectin"
Dermis,,,Mast cells,"CD203c, c-Kit (CD117)"
Dermis,,,Myoepithelial cells,"SMA, calponin, S100, p63, p40"
Dermis,,,Fibroblasts,"Factor XIIIa, Vimentin, CD34"
Dermis,,,Dendritic cells,"CD103, CD11b"
Dermis,,,Tissue resident macrophages (histiocytes),"CD68, CD163"
Dermis,,,"T cells (Thelper, Tkiller, Treg)",CD3
Dermis,,,Thelper,CD4
Dermis,,,Tkiller,CD8
Dermis,,,Treg,"CD4, FOXP3"
Dermis,,,B cells,"CD19, CD20, CD79a"
Dermis,,,Neutrophils,"MPO, CD43"
Dermis,,,Eosinophils,"CD9, MPO"
Dermis,,Nerves,Axons,"NFP1, PGP9.5"
Dermis,,,Schwann cells,S100
Dermis,,,Perineurial cells,"EMA, CD34"
Dermis,,Blood vessels,Endothelial cells,"CD31, ERG"
Dermis,,,Perivascular smooth muscle cells,"SMA, calponin, h-caldesmon"
Dermis,,,Glomus cells,"SMA, calponin, h-caldesmon"
Dermis,,,Pericytes,SMA
Dermis,,,Lymphatic,"D2-40 (podoplanin), LYVE1"
Subcutaneous,,,Adipocytes,"S100, calretinin"
Subcutaneous,,,Fibroblasts,"Factor XIIIa, Vimentin, CD34"
Subcutaneous,,,Macrophages,"CD68, CD163"
Subcutaneous,,Immune cells,as above,
Subcutaneous,,Nerves,Axons,"NFP1, PGP9.5"
Subcutaneous,,,Schwann cells,S100
Subcutaneous,,,Perineurial cells,"EMA, CD34"
Subcutaneous,,Blood vessels,Endothelial cells,"CD31, ERG"
Subcutaneous,,,Perivascular smooth muscle cells,"SMA, calponin, h-caldesmon"
Subcutaneous,,,Glomus cells,"SMA, calponin, h-caldesmon"
Subcutaneous,,,Pericytes,SMA
Subcutaneous,,,Lymphatic,"D2-40 (podoplanin), LYVE1"
Subcutaneous,,,Adipocytes,"S100, calretinin"
Subcutaneous,,Sebaceous glands,Fibroblasts,"Factor XIIIa, Vimentin, CD34"
Subcutaneous,,,Macrophages,"CD68, CD163"
