This table was composed by ,,,,,
original table flattened for machine learning by Medina Sydykanova,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
//Structure,//Substructure #1,//Substructure #2,//Substructure #3,//Cell Type,//Biomarker Subset
Capsule,Fibrous Capsule,Connective Tissue,,Myofibroblast,"Collagen I+, Collagen III+"
Capsule,Fibrous Capsule,Blood Vessels,,Blood Endothelial Cell,"CD31+, CD34+, CD105+"
Capsule,Trabeculae,Connective Tissue,,Myofibroblast,"Collagen I+, Collagen III+"
Capsule,Trabeculae,Blood Vessels,,Blood Endothelial Cell,"CD31+, CD34+, CD105+"
Capsule,Afferent Lymphatics,Lymphatic Vessels,,Lymphatic Endothelial Cell,"Podoplanin+, Lyve-1+, Prox-1+"
Capsule,Afferent Lymphatics,Lymphatic Vessels,,Smooth Muscle Cell,Smooth Muscle Actin+
Lobule,Subcapsular Sinus,,,Macrophage,"CD11c+, CD169+, CD11b+, CD68+"
Lobule,Subcapsular Sinus,,,Blood Endothelial Cell,"CD31+, CD21+"
Lobule,Subcapsular Sinus,,,Fibroblastic Reticular Cell,"Podoplanin+, CD90+, Desmin+"
Lobule,Subcapsular Sinus,,,Lymphatic Endothelial Cell,"Prox-1+, Podoplanin+, CD9+, Lyve-1+"
Lobule,Trabecular Sinus,,,Neutrophil,MPO+
Lobule,Venule,Blood Vessels,,Blood Endothelial Cell,"CD31+, CD34+, CD105+"
Lobule,Arteriole,Blood Vessels,,Blood Endothelial Cell,"CD31+, CD34+, CD105+"
Lobule,Primary Follicle,,,Follicular Dendritic Cell,"CD21+, CD35+"
Lobule,Primary Follicle,,,Naive B Cell,"CD45RA+, CD21+, CD20+, IgM+, IgD+, CD23+,HLA-DR+"
Lobule,Primary Follicle,,,Mature B Cell,"CD19+, CD20+, CD79a+,CD45RO+"
Lobule,Primary Follicle,,,Macrophage,"CD11b+, CD169+"
Lobule,Primary Follicle,,,Fibroblastic Reticular Cell,"Podoplanin+, Desmin+, Collagen I+, Smooth Muscle Actin+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,Follicular Dendritic Cell,"HLA-DR+, Podoplanin+, CD21+, CD23+, CD35+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,Centrocytes,"CD21+, CD10+, Ki67+, CXCR5+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,T Follicular Helper cell,"CD4+, CXCR5+, CD69+, CD10+, PD-1+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,T follicular regulatory helper ,"CD4+, FOXP3+, PD-1+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,Tingible Body Macrophage,"CD68+, CD169+"
Lobule,Secondary Follicle,Germinal Center,Light Zone,Plasmablast,"CD138+, CD79a+"
Lobule,Secondary Follicle,Germinal Center,Dark Zone,Centroblast,"CXCR4+, HLA-DR+, CD10+, CD19+"
Lobule,Secondary Follicle,Germinal Center,Dark Zone,Reticular cell,"CXCL12+, Collagen IV+, Laminin+"
Lobule,Secondary Follicle,Germinal Center,Mantle Zone,Naive B cell,"HLA-DR+, IgM+, IgD+, CD20+, CD19+, CD45RA+, CD79a+, CD21+"
Lobule,Secondary Follicle,Germinal Center,Mantle Zone,Macrophage,"CD169+, CD11b+"
Lobule,Secondary Follicle,Germinal Center,Mantle Zone,Memory B cell,"CD45+, CD20+, CD19+"
Lobule,Secondary Follicle,Germinal Center,Mantle Zone,T Helper cell,"CD3+, CD4+"
Lobule,Secondary Follicle,Germinal Center,Marginal Zone,Memory B cell,"CD45+, CD20+, CD19+, CD27+"
Lobule,Secondary Follicle,Germinal Center,Marginal Zone,B cell,"IgM+, CD20+, CD19+, CD21+, CD9+, CD45RA+"
Lobule,Interfollicular Cortex,,,T Helper cell,"CD3+, CD4+"
Lobule,Interfollicular Cortex,,,T Cytotoxic cell,"CD3+, CD8+"
Lobule,Interfollicular Cortex,,,NK cell,"CD56+, CD57+"
Lobule,Interfollicular Cortex,,,Reticular cell,"Podoplanin+, CD90+, Desmin+, Smooth Muscle Actin+"
Lobule,Interfollicular Cortex,,,Dendritic cell,"CD11b+, CD68+"
Lobule,Paracortex,Paracorticol Sinus,,Lymphatic Endothelial cell,"Podoplanin+, Lyve-1+, Prox-1+"
